Category,Law? 0/1,State,Subcategory,Year
Ammunition regulation,0,Hawaii,Recordkeeping,2008
Ammunition regulation,0,Hawaii,Age restrictions,2009
Ammunition regulation,0,Hawaii,Age restrictions,2009
Ammunition regulation,0,Hawaii,Background checks,2009
Ammunition regulation,0,Hawaii,Licensing,2009
Ammunition regulation,0,Hawaii,Permitting,2009
Ammunition regulation,1,Hawaii,Prohibitors,2009
Ammunition regulation,0,Hawaii,Recordkeeping,2009
Ammunition regulation,0,Hawaii,Age restrictions,2010
Ammunition regulation,0,Hawaii,Age restrictions,2010
Ammunition regulation,0,Hawaii,Background checks,2010
Ammunition regulation,0,Hawaii,Licensing,2010
Ammunition regulation,0,Hawaii,Permitting,2010
Ammunition regulation,1,Hawaii,Prohibitors,2010
Ammunition regulation,0,Hawaii,Recordkeeping,2010
Ammunition regulation,0,Hawaii,Age restrictions,2011
Ammunition regulation,0,Hawaii,Age restrictions,2011
Ammunition regulation,0,Hawaii,Background checks,2011
Ammunition regulation,0,Hawaii,Licensing,2011
Ammunition regulation,0,Hawaii,Permitting,2011
Ammunition regulation,1,Hawaii,Prohibitors,2011
Ammunition regulation,0,Hawaii,Recordkeeping,2011
Ammunition regulation,0,Hawaii,Age restrictions,2012
Ammunition regulation,0,Hawaii,Age restrictions,2012
Ammunition regulation,0,Hawaii,Background checks,2012
Ammunition regulation,0,Hawaii,Licensing,2012
Ammunition regulation,0,Hawaii,Permitting,2012
Ammunition regulation,1,Hawaii,Prohibitors,2012
Ammunition regulation,0,Hawaii,Recordkeeping,2012
Ammunition regulation,0,Hawaii,Age restrictions,2013
Ammunition regulation,0,Hawaii,Age restrictions,2013
Ammunition regulation,0,Hawaii,Background checks,2013
Ammunition regulation,0,Hawaii,Licensing,2013
Ammunition regulation,0,Hawaii,Permitting,2013
Ammunition regulation,1,Hawaii,Prohibitors,2013
Ammunition regulation,0,Hawaii,Recordkeeping,2013
Ammunition regulation,0,Hawaii,Age restrictions,2014
Ammunition regulation,0,Hawaii,Age restrictions,2014
Ammunition regulation,0,Hawaii,Background checks,2014
Domestic violence,0,Hawaii,Restraining order,1992
