Category,Law? 0/1,State,Subcategory,Year
Ammunition regulation,0,Alaska,Prohibitors,2009
Ammunition regulation,0,Alaska,Recordkeeping,2009
Ammunition regulation,0,Alaska,Age restrictions,2010
Ammunition regulation,0,Alaska,Age restrictions,2010
Ammunition regulation,0,Alaska,Background checks,2010
Ammunition regulation,0,Alaska,Licensing,2010
Ammunition regulation,0,Alaska,Permitting,2010
Ammunition regulation,0,Alaska,Prohibitors,2010
Ammunition regulation,0,Alaska,Recordkeeping,2010
Ammunition regulation,0,Alaska,Age restrictions,2011
Ammunition regulation,0,Alaska,Age restrictions,2011
Ammunition regulation,0,Alaska,Background checks,2011
Ammunition regulation,0,Alaska,Licensing,2011
Ammunition regulation,0,Alaska,Permitting,2011
Ammunition regulation,0,Alaska,Prohibitors,2011
Ammunition regulation,0,Alaska,Recordkeeping,2011
Ammunition regulation,0,Alaska,Age restrictions,2012
Ammunition regulation,0,Alaska,Age restrictions,2012
Ammunition regulation,0,Alaska,Background checks,2012
Ammunition regulation,0,Alaska,Licensing,2012
Ammunition regulation,0,Alaska,Permitting,2012
Ammunition regulation,0,Alaska,Prohibitors,2012
Ammunition regulation,0,Alaska,Recordkeeping,2012
Ammunition regulation,0,Alaska,Age restrictions,2013
Ammunition regulation,0,Alaska,Age restrictions,2013
Ammunition regulation,0,Alaska,Background checks,2013
Ammunition regulation,0,Alaska,Licensing,2013
Ammunition regulation,0,Alaska,Permitting,2013
Ammunition regulation,0,Alaska,Prohibitors,2013
Ammunition regulation,0,Alaska,Recordkeeping,2013
Ammunition regulation,0,Alaska,Age restrictions,2014
Ammunition regulation,0,Alaska,Age restrictions,2014
Ammunition regulation,0,Alaska,Background checks,2014
Domestic violence,0,Alaska,Stalking,1999
Domestic violence,0,Alaska,Restraining order,2000
Buyer regulation,0,Alaska,Safety training,2007
Buyer regulation,0,Alaska,Theft reporting,2007
Buyer regulation,0,Alaska,Waiting period,2007
Buyer regulation,0,Alaska,Waiting period,2007
Buyer regulation,1,Alaska,Age restrictions,2008
Buyer regulation,0,Alaska,Age restrictions,2008
Buyer regulation,0,Alaska,Age restrictions,2008
Buyer regulation,0,Alaska,Age restrictions,2008
Buyer regulation,0,Alaska,Bulk purchase limit,2008
Buyer regulation,0,Alaska,Fingerprinting,2008
Buyer regulation,0,Alaska,Licensing,2008
Buyer regulation,0,Alaska,Licensing,2008
Buyer regulation,0,Alaska,Permitting,2008
Buyer regulation,0,Alaska,Safety training,2008
Buyer regulation,0,Alaska,Theft reporting,2008
Buyer regulation,0,Alaska,Waiting period,2008
Buyer regulation,0,Alaska,Waiting period,2008
Buyer regulation,1,Alaska,Age restrictions,2009
Buyer regulation,0,Alaska,Age restrictions,2009
Buyer regulation,0,Alaska,Age restrictions,2009
Buyer regulation,0,Alaska,Age restrictions,2009
Buyer regulation,0,Alaska,Bulk purchase limit,2009
Buyer regulation,0,Alaska,Fingerprinting,2009
Buyer regulation,0,Alaska,Licensing,2009
Buyer regulation,0,Alaska,Licensing,2009
Buyer regulation,0,Alaska,Permitting,2009
Buyer regulation,0,Alaska,Safety training,2009
Buyer regulation,0,Alaska,Theft reporting,2009
Buyer regulation,0,Alaska,Waiting period,2009
Buyer regulation,0,Alaska,Waiting period,2009
Buyer regulation,1,Alaska,Age restrictions,2010
Buyer regulation,0,Alaska,Age restrictions,2010
Buyer regulation,0,Alaska,Age restrictions,2010
Buyer regulation,0,Alaska,Age restrictions,2010
Buyer regulation,0,Alaska,Bulk purchase limit,2010
Buyer regulation,0,Alaska,Fingerprinting,2010
Buyer regulation,0,Alaska,Licensing,2010
Buyer regulation,0,Alaska,Licensing,2010
Buyer regulation,0,Alaska,Permitting,2010
Buyer regulation,0,Alaska,Safety training,2010
Buyer regulation,0,Alaska,Theft reporting,2010
Buyer regulation,0,Alaska,Waiting period,2010
Buyer regulation,0,Alaska,Waiting period,2010
Buyer regulation,1,Alaska,Age restrictions,2011
Buyer regulation,0,Alaska,Age restrictions,2011
Buyer regulation,0,Alaska,Age restrictions,2011
Buyer regulation,0,Alaska,Age restrictions,2011
Buyer regulation,0,Alaska,Bulk purchase limit,2011
Buyer regulation,0,Alaska,Fingerprinting,2011
Buyer regulation,0,Alaska,Licensing,2011
Buyer regulation,0,Alaska,Licensing,2011
Buyer regulation,0,Alaska,Permitting,2011
Buyer regulation,0,Alaska,Safety training,2011
Buyer regulation,0,Alaska,Theft reporting,2011
Buyer regulation,0,Alaska,Waiting period,2011
Buyer regulation,0,Alaska,Waiting period,2011
Buyer regulation,1,Alaska,Age restrictions,2012
Buyer regulation,0,Alaska,Age restrictions,2012
Buyer regulation,0,Alaska,Age restrictions,2012
Buyer regulation,0,Alaska,Age restrictions,2012
Buyer regulation,0,Alaska,Bulk purchase limit,2012
Buyer regulation,0,Alaska,Fingerprinting,2012
Buyer regulation,0,Alaska,Licensing,2012
